ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
01229,25003,2500367595,,,125,104,2.483,0.067,42.29008,-73.354218
01230,25003,2500326815,2526780,,9095,5237,96.977,1.921,42.173196,-73.32429
01235,25003,2500353050,,69778,2461,1430,46.661,1.072,42.425677,-73.063028
01236,25003,2500377990,2531295,,1625,788,6.616,0.066,42.274499,-73.386155
01237,25003,2500334340,,69778,2451,1507,49.31,0.306,42.549804,-73.261144
01238,25003,2500334655,2534620,48745,5928,3020,27.602,1.045,42.300457,-73.231006
01240,25003,2500334970,2534935,48745,4922,3128,23.913,0.596,42.382693,-73.266632
01242,25003,2500334970,2535040,48745,255,70,0.459,0.0,42.333734,-73.249199
01243,25015,2501540990,,,135,99,14.287,0.018,42.367907,-73.054094
01244,25003,2500345420,,,158,145,5.76,0.031,42.117456,-73.278635
01245,25003,2500342460,,,828,793,25.866,0.677,42.193307,-73.218499
01247,25003,2500346225,2546225,63460,15279,7812,45.915,0.411,42.695699,-73.093852
01253,25003,2500351580,,,818,643,21.213,0.428,42.206683,-73.113214
01254,25003,2500356795,,,961,561,14.463,0.057,42.382019,-73.365492
01255,25003,2500359665,,,931,635,50.522,1.133,42.1029,-73.125991
01256,25003,2500360225,,,620,376,35.853,0.178,42.594166,-73.02232
01257,25003,2500361065,,,2230,1300,33.897,0.813,42.085244,-73.367483
01258,25003,2500343300,,,188,169,22.252,0.151,42.09092,-73.470197
01259,25003,2500345420,,,733,420,22.925,0.742,42.06926,-73.228949
01260,25003,2500334655,,48745,20,67,2.587,0.019,42.261673,-73.27516
01262,25003,2500367595,,48745,1785,1495,19.754,0.872,42.310055,-73.324468
01264,25003,2500371095,,,207,166,14.54,0.036,42.234822,-73.197083
01266,25003,2500377990,,,952,812,20.21,0.215,42.312354,-73.388044
01267,25003,2500379985,2579950,63460,8142,3524,59.307,0.148,42.671617,-73.246981
01270,25003,2500380685,,,999,431,32.25,0.097,42.519837,-73.04969
01301,25011,2501127060,2527060,34975,17880,8665,25.349,0.539,42.626761,-72.60153
01330,25011,2501102095,,,1607,849,34.473,0.24,42.513947,-72.821517
01331,25027,2502702480,2502515,03790,13845,6040,54.161,1.457,42.570237,-72.182903
01337,25011,2501105560,,34975,2470,1167,37.392,0.061,42.689307,-72.582289
01338,25011,2501109595,,,65,48,1.31,0.001,42.575889,-72.80665
01339,25011,2501129475,,,1396,823,58.357,0.246,42.61045,-72.887735
01340,25011,2501114885,,,1890,1005,52.034,0.263,42.68553,-72.731135
01341,25011,2501115200,,,1620,774,33.561,0.11,42.507177,-72.701525
01342,25011,2501116670,2516635,34975,1321,479,18.412,0.872,42.543889,-72.609458
01343,25003,2500324120,,,167,72,11.481,0.198,42.64773,-72.969767
01344,25011,2501121780,2541410,,1631,757,13.793,0.616,42.613418,-72.426428
01346,25011,2501129650,,,409,338,13.377,0.028,42.658496,-72.806057
01347,25011,2501142285,,,197,128,0.357,0.084,42.563223,-72.509775
01349,25011,2501142285,2541410,34975,764,370,9.87,0.126,42.56746,-72.467542
01350,25011,2501142040,,,103,70,10.687,0.043,42.727772,-72.985346
01351,25011,2501142285,,34975,2741,1074,19.593,0.435,42.53988,-72.521689
01354,25011,2501125730,,34975,1747,647,13.749,1.294,42.624101,-72.508607
01355,25011,2501145490,,,1009,476,47.5,14.009,42.458551,-72.327191
01360,25011,2501147835,2547800,,2871,1348,34.31,1.086,42.677091,-72.453876
01364,25011,2501151265,2551230,03790,7643,3435,35.996,1.136,42.605437,-72.292074
01366,25027,2502753120,2553085,,1177,529,36.937,0.552,42.491583,-72.180876
01367,25011,2501158335,,,504,274,24.571,0.755,42.692882,-72.919244
01368,25027,2502758580,,,1455,614,44.322,0.709,42.676687,-72.184052
01370,25011,2501161135,2561205,,3713,1963,48.187,0.568,42.593376,-72.726928
01373,25011,2501116670,2563620,85779,4921,2394,23.065,0.537,42.475481,-72.615403
01375,25011,2501168400,,85779,3658,1932,14.08,0.517,42.466691,-72.546751
01376,25011,2501142285,2570815,34975,4868,2500,4.079,0.437,42.591441,-72.544674
01378,25011,2501173265,,,814,424,37.349,0.312,42.679971,-72.339882
01379,25011,2501174525,,,779,396,21.579,0.201,42.527853,-72.398403
01380,25011,2501174525,,,25,19,6.497,0.103,42.588496,-72.406298
01420,25027,2502723875,2523875,49096,41661,17916,30.058,0.692,42.584925,-71.816862
01430,25027,2502701885,2562780,,6457,2776,36.741,2.332,42.673052,-71.920335
01431,25017,2501701955,,,3187,1303,23.664,0.386,42.676293,-71.832523
